geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER
POINT (72.36615752861798 41.44092918960463),64,832,64,72.36615752861798,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (73.00226346036341 41.44092918960463),65,896,64,73.00226346036341,41.44092918960463,False,False,108.0,108.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (73.63836939210886 41.44092918960463),66,960,64,73.63836939210886,41.44092918960463,False,False,98.0,98.0,0.23472607135772705,-0.2074519246816635,0.002349853515625,0.0020751953125,0.0031350036151707172,228.5296173095703,-9999.0,-9999.0,False,3.999237057736906,-9999,[],True,True,False,True
POINT (74.2744753238543 41.44092918960463),67,1024,64,74.2744753238543,41.44092918960463,False,False,98.0,98.0,-0.21251489222049713,-0.23458586633205414,-0.00212860107421875,0.002346038818359375,0.0031677817460149527,137.8260955810547,-9999.0,-9999.0,False,13.692281146063351,-9999,[],True,True,False,True
POINT (74.91058125559974 41.44092918960463),68,1088,64,74.91058125559974,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (75.54668718734519 41.44092918960463),69,1152,64,75.54668718734519,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (76.18279311909063 41.44092918960463),70,1216,64,76.18279311909063,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (76.81889905083607 41.44092918960463),71,1280,64,76.81889905083607,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (72.36615752861798 40.804823257859184),115,832,128,72.36615752861798,40.804823257859184,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (73.00226346036341 40.804823257859184),116,896,128,73.00226346036341,40.804823257859184,False,False,138.0,138.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (73.63836939210886 40.804823257859184),117,960,128,73.63836939210886,40.804823257859184,False,False,204.0,204.0,-0.247267395257999,-35.487253427512556,-0.002472673952581772,0.35487253427505294,0.3548811486952701,179.60078204080094,0.13790417642350175,0.18333008358211858,True,15.847116331794936,-9999,[],True,False,False,True
POINT (74.2744753238543 40.804823257859184),118,1024,128,74.2744753238543,40.804823257859184,False,False,188.0,188.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (74.91058125559974 40.804823257859184),119,1088,128,74.91058125559974,40.804823257859184,False,False,172.0,172.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (75.54668718734519 40.804823257859184),120,1152,128,75.54668718734519,40.804823257859184,False,False,154.0,154.0,-0.23693868517880384,-1.6360861063006795,-0.0023693868517824512,0.016360861063006382,0.016531538608865113,171.75969005071687,0.1600454370177796,0.15226950924462415,False,14.419891844838446,-9999,[],True,True,False,True
POINT (76.18279311909063 40.804823257859184),121,1216,128,76.18279311909063,40.804823257859184,False,False,138.0,138.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (76.81889905083607 40.804823257859184),122,1280,128,76.81889905083607,40.804823257859184,False,False,120.0,120.0,0.20697732269768065,25.571558415894827,0.0020697732269781,-0.2557155841588994,0.25572396043964724,359.53625555825215,0.0917469152660866,-9999.0,False,14.693086941614865,-9999,[],True,True,False,True
POINT (77.45500498258151 40.804823257859184),123,1344,128,77.45500498258151,40.804823257859184,False,False,104.0,104.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (78.09111091432696 40.804823257859184),124,1408,128,78.09111091432696,40.804823257859184,False,False,98.0,98.0,0.3306961357594194,0.36564627289779306,0.0033069613575946732,-0.0036564627289763507,0.004930082464727906,317.87332258155413,-9999.0,-9999.0,False,0.0,-9999,[],True,True,False,True
