geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER,shift_px,ncc_before,ncc_after,ncc_verified
POINT (74.33888671478286 41.754182744691356),133,1024,32,74.33888671478286,41.754182744691356,False,False,100.0,62.0,0.18138639628887177,-0.4953155219554901,0.0018157958984375,0.00495147705078125,0.005273920949548483,200.11293029785156,0.13781495456365322,0.13925379197367632,True,9.85757261117709,-9999,[],False,False,False,False,0.527483166602218,-0.05485547333955765,-0.05485547333955765,True
POINT (73.37888671478285 41.434182744691356),231,928,64,73.37888671478285,41.434182744691356,False,False,64.0,64.0,-0.21083538234233856,-0.22044262290000916,-0.002105712890625,0.00220489501953125,0.00304886675439775,136.276123046875,0.03367562560727111,0.03880119742363742,True,0.0,-9999,[],False,False,False,False,0.3050352576973287,0.08477942645549774,0.08477942645549774,True
POINT (73.69888671478284 41.434182744691356),232,960,64,73.69888671478284,41.434182744691356,False,False,64.0,64.0,0.1429620385169983,-0.12266135960817337,0.00142669677734375,0.00122833251953125,0.0018826216692104936,229.37042236328125,0.02472527803015577,0.025213221592310736,True,27.870886199985577,-9999,[],False,False,False,False,0.18837184927122558,0.08909407258033752,0.08909407258033752,True
POINT (74.65888671478285 41.434182744691356),235,1056,64,74.65888671478285,41.434182744691356,False,False,64.0,64.0,-0.17392227053642273,-0.2545827031135559,-0.001739501953125,0.002544403076171875,0.0030821834225207567,145.6604461669922,0.07248599653807303,0.07285158202157661,True,11.89619914966515,-9999,[],False,False,False,False,0.3083201402976289,-0.18544475734233856,-0.18544475734233856,True
POINT (75.29888671478285 41.434182744691356),237,1120,64,75.29888671478285,41.434182744691356,False,False,100.0,100.0,-0.19812624156475067,1.3896397054195404,-0.001981262415654328,-0.013896397054196541,0.014036924586517046,8.114193197364989,0.16748073603365973,0.16813821398931347,True,19.513782248757906,-9999,[],False,False,False,False,1.4036924586514956,-0.17491881549358368,-0.16012586653232574,True
POINT (73.37888671478285 41.114182744691355),332,928,96,73.37888671478285,41.114182744691355,False,False,64.0,64.0,-0.1989818662405014,-0.3966335356235504,-0.00199127197265625,0.00396728515625,0.0044389767572283745,153.358154296875,0.06631645698133663,0.07846624212436666,True,0.0,-9999,[],False,False,False,False,0.44374761371053145,0.15717794001102448,0.15717794001102448,True
POINT (73.69888671478284 41.114182744691355),333,960,96,73.69888671478284,41.114182744691355,False,False,64.0,64.0,0.06485021114349365,-0.30745112895965576,0.00064849853515625,0.00307464599609375,0.0031422919128090143,191.9107208251953,0.05825744604077873,0.06257409185416438,True,1.4686735436591505,-9999,[],False,False,False,False,0.31421608263092227,0.26493147015571594,0.26493147015571594,True
POINT (74.01888671478285 41.114182744691355),334,992,96,74.01888671478285,41.114182744691355,False,False,64.0,64.0,0.18001049757003784,0.19018951058387756,0.001800537109375,-0.001903533935546875,0.0026201861910521984,316.57501220703125,0.06371205549175928,0.06395250045983457,True,0.0,-9999,[],False,False,False,False,0.2618698706830312,0.13925136625766754,0.13925136625766754,True
POINT (75.93888671478285 41.114182744691355),340,1184,96,75.93888671478285,41.114182744691355,False,False,64.0,64.0,0.11810129135847092,0.21793456375598907,0.00118255615234375,-0.002178192138671875,0.0024784996639937162,331.54620361328125,0.049242201553479865,0.0541152122468225,True,0.0,-9999,[],False,False,False,False,0.2478777704838651,-0.004977330099791288,-0.004977330099791288,True
POINT (76.89888671478285 41.114182744691355),343,1280,96,76.89888671478285,41.114182744691355,False,False,64.0,64.0,-0.29500511288642883,0.380161851644516,-0.0029500511288631515,-0.003801618516448002,0.004811975166966997,37.811417329084634,0.0377230348170344,0.05668384553437063,True,0.0,-9999,[],False,False,False,False,0.4811975166965449,-0.0722375214099884,-0.0722375214099884,True
POINT (73.69888671478284 40.794182744691355),434,960,128,73.69888671478284,40.794182744691355,False,False,64.0,64.0,-0.4838913381099701,-27.640491604804993,-0.00483891338109288,0.27640491604805106,0.27644726929061875,178.99704752211025,0.0722840308397459,0.07244796226926822,True,0.0,-9999,[],False,False,False,False,27.644726929061772,0.3916526734828949,0.5416003465652466,True
POINT (76.89888671478285 40.794182744691355),444,1280,128,76.89888671478285,40.794182744691355,False,False,64.0,64.0,-0.21424230933189392,0.2809680104255676,-0.00214385986328125,-0.002811431884765625,0.0035355740692466497,37.3260612487793,0.042520190446135836,0.05093278280907761,True,0.0,-9999,[],False,False,False,False,0.3533309921169735,0.24718092381954193,0.24718092381954193,True
POINT (77.21888671478285 40.794182744691355),445,1312,128,77.21888671478285,40.794182744691355,False,False,64.0,64.0,-0.4065694212913513,0.14844165742397308,-0.00406646728515625,-0.001483917236328125,0.00432876031845808,69.94246673583984,0.00496859078657271,0.0055258995639628815,True,0.0,-9999,[],False,False,False,False,0.43282054016411986,0.2314244508743286,0.2314244508743286,True
POINT (79.45888671478285 40.794182744691355),452,1536,128,79.45888671478285,40.794182744691355,False,False,100.0,100.0,-0.27954599261283875,1.4227320551872253,-0.0027954599261335034,-0.014227320551874811,0.014499353305731181,11.116172304921278,0.1449929026576613,0.15483932577657927,True,23.22154388371945,-9999,[],False,False,False,False,1.4499353305727685,0.21624794602394104,0.22381164133548737,True
POINT (72.73888671478285 40.474182744691355),532,864,160,72.73888671478285,40.474182744691355,False,False,64.0,64.0,0.30776938796043396,-0.42499080300331116,0.00307464599609375,0.00424957275390625,0.0052452185191214085,215.91127014160156,0.0548700612691522,0.05645232221363899,True,0.0,-9999,[],False,False,False,False,0.5247277187293801,0.04713326692581177,0.04713326692581177,True
POINT (76.89888671478285 40.474182744691355),545,1280,160,76.89888671478285,40.474182744691355,False,False,64.0,64.0,-0.22688138484954834,-0.30973559617996216,-0.00226593017578125,0.0030975341796875,0.003837858559563756,143.77723693847656,0.03760620224427477,0.045522672038233125,True,0.0,-9999,[],False,False,False,False,0.3839417955005751,0.021827466785907745,0.021827466785907745,True
POINT (77.21888671478285 40.474182744691355),546,1312,160,77.21888671478285,40.474182744691355,False,False,64.0,64.0,0.2036253809928894,-0.2334820181131363,0.0020362538099334415,0.0023348201811330682,0.0030980178916033894,221.09247905948348,0.019072689768978877,0.02167539268681093,True,0.0,-9999,[],False,False,False,False,0.3098017891599115,0.016076838597655296,0.016076838597655296,True
POINT (81.37888671478285 40.474182744691355),559,1728,160,81.37888671478285,40.474182744691355,False,False,100.0,100.0,-0.18479272723197937,0.3018481433391571,-0.0018463134765625,-0.003017425537109375,0.0035374751314520836,31.475141525268555,0.4358087989509594,0.4368416798726964,True,0.0,-9999,[],False,False,False,False,0.3539218185915204,0.05886079743504524,0.05886079743504524,True
POINT (72.73888671478285 40.154182744691354),633,864,192,72.73888671478285,40.154182744691354,False,False,64.0,64.0,-0.5638977289199829,-0.19217753410339355,-0.005638977289194713,0.0019217753410316618,0.0059574562801124374,108.81921832595378,0.055006570553164234,0.05706799429998306,True,0.0,-9999,[],False,False,False,False,0.5957456280118013,0.22070281207561493,0.22070281207561493,True
POINT (74.97888671478285 40.154182744691354),640,1088,192,74.97888671478285,40.154182744691354,False,False,64.0,64.0,17.396529763936996,-0.1502186357975006,0.17396529763936996,0.0015021863579747219,0.17397178319086307,269.50526455312354,0.04812395830336094,0.08141334693417401,True,0.0,-9999,[],False,False,False,False,17.397178319086308,0.10556402802467346,0.2836669683456421,True
POINT (75.93888671478285 40.154182744691354),643,1184,192,75.93888671478285,40.154182744691354,False,False,64.0,64.0,-0.35932767391204834,0.25307369232177734,-0.00359344482421875,-0.002529144287109375,0.004394248127937317,54.843048095703125,0.044483418782317374,0.04630343055965288,True,0.0,-9999,[],False,False,False,False,0.43950275423985796,-0.4233112633228302,-0.4233112633228302,True
POINT (80.41888671478286 40.154182744691354),657,1632,192,80.41888671478286,40.154182744691354,False,False,64.0,64.0,-0.24923670291900635,0.2715722322463989,-0.0024923670291912003,-0.002715722322463421,0.003686060382159452,42.54430508173041,0.17046518505278782,0.17582489527902662,True,27.04302692291577,-9999,[],False,False,False,False,0.3686060382159102,0.485426127910614,0.485426127910614,True
POINT (81.37888671478285 40.154182744691354),660,1728,192,81.37888671478285,40.154182744691354,False,False,64.0,64.0,0.08483591675758362,0.15667487680912018,0.000848359167576973,-0.001566748768091486,0.0017816887998548128,331.56545292432276,0.40061990394172603,0.4082370508064582,True,26.93279161494098,-9999,[],False,False,False,False,0.17816887998540218,0.278231680393219,0.278231680393219,True
