Automatically extracted tie points: 59
With finite NCC on both sides      : 59
VALID (NCC after > before)         : 59 (100%)
Mean NCC before -> after           : 0.131 -> 0.561
Mean match score (coastline NCC)   : 0.825
Shift magnitude px: min 20 mean 84 max 112

row  col   dx    dy   score  ncc_before ncc_after valid
 2500   900  +104   +22 0.993   +0.247    +0.836   Y
 2450   900  +106   +20 0.992   +0.204    +0.730   Y
 2850   900   +92   +19 0.987   -0.159    +0.929   Y
 2460   860  +105   +21 0.978   +0.039    +0.584   Y
 2420   870  +105   +21 0.971   -0.001    +0.457   Y
 2800   900   +89   +22 0.969   +0.011    +0.902   Y
 2430   830  +105   +21 0.966   -0.206    +0.187   Y
 2410   910  +101   +25 0.958   +0.122    +0.554   Y
 2530   930  +100   +25 0.955   +0.154    +0.885   Y
 2860   860   +91   +21 0.950   -0.059    +0.809   Y
 2450   950  +101   +26 0.948   +0.277    +0.746   Y
 2510   860  +104   +23 0.948   +0.095    +0.688   Y
 2520   970  +101   +25 0.948   +0.053    +0.882   Y
 2380   880  +101   +26 0.944   -0.114    +0.232   Y
 2750   900   +88   +21 0.935   +0.158    +0.827   Y
 2480   980  +102   +23 0.917   +0.295    +0.782   Y
 2910   860   +90   +34 0.915   +0.112    +0.780   Y
 2210  1310   +30    -8 0.906   +0.600    +0.639   Y
 2410   960   +94   +27 0.903   +0.259    +0.574   Y
 2370   920   +94   +27 0.900   -0.094    +0.196   Y
 2560   860  +103   +24 0.898   +0.180    +0.730   Y
 2830   830   +91   +20 0.897   -0.265    +0.390   Y
 2400  1150   +61   +20 0.889   +0.410    +0.730   Y
 2430  1030  +101   +22 0.884   +0.469    +0.736   Y
 2420  1070   +80   +22 0.881   +0.463    +0.794   Y
 2470  1020  +101   +22 0.858   +0.342    +0.762   Y
 3060   760   +97   +23 0.853   +0.039    +0.629   Y
 2470  1070   +81   +21 0.852   +0.289    +0.809   Y
 2200  1350   +20    -3 0.850   +0.694    +0.715   Y
 2720   870   +92   +12 0.844   +0.035    +0.525   Y
 2380  1030   +86   +29 0.837   +0.395    +0.594   Y
 2780   830   +93   +18 0.837   -0.168    +0.295   Y
 3100   950   +65   +18 0.836   +0.132    +0.558   Y
 2370   970   +85   +28 0.828   +0.092    +0.244   Y
 2410  1210   +58   +21 0.825   +0.234    +0.723   Y
 3020   770   +95   +22 0.821   +0.161    +0.457   Y
 2980   780   +91   +25 0.815   +0.121    +0.284   Y
 2870   820   +91   +29 0.810   -0.056    +0.167   Y
 3060   710  +110   +21 0.772   -0.159    +0.356   Y
 2730   830   +95   +13 0.765   -0.014    +0.100   Y
 2920   820   +90   +30 0.761   +0.034    +0.242   Y
 2460  1110   +83   +17 0.742   +0.313    +0.749   Y
 3130   980   +59   +23 0.737   +0.138    +0.581   Y
 2480  1180   +66   +19 0.736   +0.165    +0.485   Y
 2450  1150   +58   +21 0.734   +0.328    +0.678   Y
 2340  1220   +49   +17 0.733   +0.242    +0.640   Y
 2000  1750   -59   -32 0.719   +0.353    +0.781   Y
 2340  1290   +56    +2 0.713   +0.279    +0.557   Y
 3060   960   +63   +21 0.702   +0.163    +0.568   Y
 3070   920   +67   +20 0.700   -0.037    +0.557   Y
 3130   880   +67   +19 0.673   -0.242    +0.430   Y
 1950  1800   -62   -26 0.671   +0.461    +0.715   Y
 1950  1750   -57   -26 0.665   +0.220    +0.703   Y
 1900  1750   -64   -16 0.661   -0.011    +0.604   Y
 3230  1030   +53   +46 0.603   +0.202    +0.344   Y
 1850  1700   -58   -14 0.603   -0.033    +0.026   Y
 3230   980   +54   +40 0.576   -0.180    +0.226   Y
 1850  1750   -59   -14 0.570   -0.057    +0.269   Y
 1900  1700   -59   -15 0.556   -0.012    +0.155   Y
