geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,OUTLIER
POINT (72.68421049449069 42.07703512135007),27,864,0,72.68421049449069,42.07703512135007,False,False,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,Matching window in target image is larger than overlap area but further shrinking the matching window is not possible. Check if the footprints of the input data have been computed correctly.,[],-9999,-9999
POINT (72.36615752861798 41.75898215547735),127,832,32,72.36615752861798,41.75898215547735,False,False,64.0,62.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (72.68421049449069 41.75898215547735),128,864,32,72.68421049449069,41.75898215547735,False,False,64.0,62.0,0.36493343114860166,8.82767008245167,0.003649334311489838,-0.08827670082450112,0.08835209985832534,357.6327562812381,-9999.0,-9999.0,False,31.21410478648427,-9999,[],False,False
POINT (73.00226346036341 41.75898215547735),129,896,32,73.00226346036341,41.75898215547735,False,False,64.0,62.0,0.3068897128105774,-0.17061020433906135,0.0030688971281023214,0.001706102043392832,0.00351125529765978,240.92886082861975,-9999.0,-9999.0,False,0.0,-9999,[],True,True
POINT (73.32031642623613 41.75898215547735),130,928,32,73.32031642623613,41.75898215547735,False,False,64.0,62.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.63836939210886 41.75898215547735),131,960,32,73.63836939210886,41.75898215547735,False,False,64.0,62.0,-0.23162358999256927,-0.0844372883439232,-0.0023162358999258004,0.0008443728834421904,0.0024653426354966485,110.02908857662055,-9999.0,-9999.0,False,0.0,-9999,[],True,True
POINT (73.95642235798158 41.75898215547735),132,992,32,73.95642235798158,41.75898215547735,False,False,64.0,62.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (74.2744753238543 41.75898215547735),133,1024,32,74.2744753238543,41.75898215547735,False,False,64.0,62.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (74.59252828972703 41.75898215547735),134,1056,32,74.59252828972703,41.75898215547735,False,False,64.0,62.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (74.91058125559974 41.75898215547735),135,1088,32,74.91058125559974,41.75898215547735,False,False,64.0,62.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (75.22863422147246 41.75898215547735),136,1120,32,75.22863422147246,41.75898215547735,False,False,64.0,62.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (72.36615752861798 41.44092918960463),228,832,64,72.36615752861798,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (72.68421049449069 41.44092918960463),229,864,64,72.68421049449069,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.00226346036341 41.44092918960463),230,896,64,73.00226346036341,41.44092918960463,False,False,108.0,108.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.32031642623613 41.44092918960463),231,928,64,73.32031642623613,41.44092918960463,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.63836939210886 41.44092918960463),232,960,64,73.63836939210886,41.44092918960463,False,False,98.0,98.0,0.23472607135772705,-0.2074519246816635,0.002349853515625,0.0020751953125,0.0031350036151707172,228.5296173095703,-9999.0,-9999.0,False,3.999237057736906,-9999,[],True,True
POINT (73.95642235798158 41.44092918960463),233,992,64,73.95642235798158,41.44092918960463,False,False,98.0,98.0,3.2555896937853617,-1.5532122850421182,0.03255589693785055,0.015532122850416386,0.03607122489836426,244.49461431414755,-9999.0,-9999.0,False,18.802763814868754,-9999,[],True,True
POINT (74.2744753238543 41.44092918960463),234,1024,64,74.2744753238543,41.44092918960463,False,False,98.0,98.0,-0.21251489222049713,-0.23458586633205414,-0.00212860107421875,0.002346038818359375,0.0031677817460149527,137.8260955810547,-9999.0,-9999.0,False,13.692281146063351,-9999,[],True,True
POINT (74.59252828972703 41.44092918960463),235,1056,64,74.59252828972703,41.44092918960463,False,False,98.0,98.0,0.30697998404508975,7.19512000680113,0.003069799840446308,-0.07195120006799982,0.07201665683913508,357.5569557050047,-9999.0,-9999.0,False,0.0,-9999,[],True,True
POINT (74.91058125559974 41.44092918960463),236,1088,64,74.91058125559974,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (75.22863422147246 41.44092918960463),237,1120,64,75.22863422147246,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (75.54668718734519 41.44092918960463),238,1152,64,75.54668718734519,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (75.86474015321791 41.44092918960463),239,1184,64,75.86474015321791,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (76.18279311909063 41.44092918960463),240,1216,64,76.18279311909063,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (76.50084608496334 41.44092918960463),241,1248,64,76.50084608496334,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (76.81889905083607 41.44092918960463),242,1280,64,76.81889905083607,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (77.13695201670879 41.44092918960463),243,1312,64,77.13695201670879,41.44092918960463,False,False,98.0,98.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (72.36615752861798 41.12287622373191),329,832,96,72.36615752861798,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (72.68421049449069 41.12287622373191),330,864,96,72.68421049449069,41.12287622373191,False,False,100.0,100.0,-0.19381715357307475,-4.24372667074288,-0.0019381715357269513,0.04243726670742376,0.04248150320432316,177.38503578686917,-9999.0,-9999.0,False,16.07438382828809,-9999,[],True,True
POINT (73.00226346036341 41.12287622373191),331,896,96,73.00226346036341,41.12287622373191,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.32031642623613 41.12287622373191),332,928,96,73.32031642623613,41.12287622373191,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.63836939210886 41.12287622373191),333,960,96,73.63836939210886,41.12287622373191,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.95642235798158 41.12287622373191),334,992,96,73.95642235798158,41.12287622373191,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (74.2744753238543 41.12287622373191),335,1024,96,74.2744753238543,41.12287622373191,False,False,128.0,128.0,0.24826428294181824,-0.2993928790092468,0.00247955322265625,0.002994537353515625,0.0038878577761352062,219.66639709472656,0.10402295414958973,0.10440390551874423,True,0.0,-9999,[],True,True
POINT (74.59252828972703 41.12287622373191),336,1056,96,74.59252828972703,41.12287622373191,False,False,126.0,126.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (74.91058125559974 41.12287622373191),337,1088,96,74.91058125559974,41.12287622373191,False,False,118.0,118.0,0.28701117634778966,-9.622815072538383,0.0028701117634710727,0.09622815072536639,0.09627094335031025,181.70840395665147,0.1269685967720091,0.15577793456044345,True,7.126942136363738,-9999,[],True,True
POINT (75.22863422147246 41.12287622373191),338,1120,96,75.22863422147246,41.12287622373191,False,False,110.0,110.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (75.54668718734519 41.12287622373191),339,1152,96,75.54668718734519,41.12287622373191,False,False,102.0,102.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (75.86474015321791 41.12287622373191),340,1184,96,75.86474015321791,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (76.18279311909063 41.12287622373191),341,1216,96,76.18279311909063,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
