ID,Source X,Source Y,Dest X,Dest Y,Delta X,Delta Y,State
0,77.567107,8.090688,77.560062,8.083591,-0.007045,-0.007097,Tamil Nadu
1,78.073503,8.340860,78.064208,8.368222,-0.009295,0.027362,Tamil Nadu
2,81.356452,8.508493,81.323689,8.520497,-0.032763,0.012003,Andhra Pradesh
3,78.809909,9.173092,78.718758,9.195615,-0.091151,0.022523,Tamil Nadu
4,73.073033,21.608143,73.604008,21.269117,0.530975,-0.339026,Gujarat
5,81.505063,24.220240,81.325527,24.240616,-0.179535,0.020376,Madhya Pradesh
6,81.363448,30.848863,81.373958,30.769154,0.010510,-0.079709,Uttarakhand
7,80.964218,15.687881,80.813968,15.688266,-0.150250,0.000384,Andhra Pradesh
8,74.583597,18.518652,75.123414,18.068509,0.539817,-0.450142,Maharashtra
9,76.073048,14.130524,76.421978,13.807949,0.348930,-0.322576,Karnataka
10,76.284073,12.759112,76.503938,12.449586,0.219866,-0.309527,Karnataka
11,76.014394,22.678011,76.693625,22.198662,0.679231,-0.479349,Madhya Pradesh
12,69.075380,22.583985,69.192816,22.406010,0.117436,-0.177974,Gujarat
13,79.904933,22.978609,79.972269,22.806741,0.067336,-0.171868,Chhattisgarh
14,74.982812,12.204929,75.201961,12.012508,0.219150,-0.192421,Kerala
15,74.634315,19.888751,75.213503,19.418948,0.579188,-0.469803,Maharashtra
16,87.016343,20.681715,87.023140,20.697579,0.006797,0.015864,Odisha
17,78.424011,34.038503,78.494271,33.969110,0.070260,-0.069393,Ladakh
18,89.583072,37.379095,89.072512,37.539296,-0.510560,0.160201,Tibet (China)
19,75.125012,38.698942,74.964646,38.688341,-0.160366,-0.010601,Pakistan-administered Kashmir
20,74.165013,14.241510,74.564030,13.943887,0.399017,-0.297623,Karnataka
21,80.323911,12.959924,80.255446,12.798587,-0.068465,-0.161337,Tamil Nadu
22,76.614042,8.853035,76.594293,8.870141,-0.019749,0.017106,Kerala
23,80.133492,8.598607,79.954026,8.735700,-0.179466,0.137093,Gulf of Mannar
24,80.783595,6.099730,80.813458,6.027166,0.029863,-0.072564,Sri Lanka
25,79.935092,10.317363,79.860359,10.288411,-0.074733,-0.028952,Tamil Nadu
26,80.245082,14.557983,80.214835,14.578785,-0.030247,0.020802,Andhra Pradesh
27,77.984378,14.928915,78.273789,14.749158,0.289411,-0.179757,Andhra Pradesh
28,75.032759,36.979274,75.124199,36.939169,0.091440,-0.040105,Ladakh
29,89.065019,34.409301,89.113027,34.497958,0.048008,0.088657,Tibet (China)
30,73.794169,35.878245,73.845349,35.839033,0.051180,-0.039212,Jammu & Kashmir
31,77.514449,18.108834,77.933770,17.829732,0.419321,-0.279102,Telangana
32,89.804430,23.189102,90.593791,22.869632,0.789361,-0.319469,Bangladesh
33,86.004131,33.538732,85.864177,33.648845,-0.139953,0.110113,Jammu & Kashmir
34,90.223804,32.039068,90.743769,32.068504,0.519965,0.029436,Tibet (China)
35,73.214795,16.215687,73.566475,15.920118,0.351680,-0.295569,Goa
